,links
10,https://www.booking.com/hotel/sg/ibis-singapore-on-bencoolen.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
11,https://www.booking.com/hotel/sg/riverside-hotel-robertson-quay.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
12,https://www.booking.com/hotel/sg/crowne-plaza-changi-airport.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from=searchresults#hotelTmpl
13,https://www.booking.com/hotel/sg/parkroyal-on-kitchener-road.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
14,https://www.booking.com/hotel/sg/copthorne-king-s.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
15,https://www.booking.com/hotel/sg/mercure-singapore-bugis.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
16,https://www.booking.com/hotel/sg/ibis-styles-singapore-on-macpherson.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
17,https://www.booking.com/hotel/sg/village-at-sentosa.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
18,https://www.booking.com/hotel/sg/oasia-downtown-singapore.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
19,https://www.booking.com/hotel/sg/m-social-singapore.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ArKDz5MGwAIB0gIkODQ2YTE4NzQtNTEzNC00Y2QxLThkM2MtMGE2NTIwNjFmMGM02AIF4AIB&sid=e3838c7129ff49cce3b42508f2040205&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=93d0571b297402ec&srepoch=1651753400&from=searchresults#hotelTmpl
