,Positive Scores,Negative Scores,Neutral Scores,Compound Scores,individual ratings
4104,0,0,1,0,10
4105,0,0,1,0,10
4106,1,0,0,0.3182,5
4107,0,0,1,0,10
4108,0.436,0,0.564,0.4754,10
4109,0,0,1,0,8
4110,0,0,1,0,10
4111,1,0,0,0.5106,10
4112,0,0,1,0,6
4113,1,0,0,0.3182,10
4114,0,1,0,-0.5423,5
4115,1,0,0,0.4404,1
4116,0,0,1,0,7
4117,0,1,0,-0.4404,10
4118,0,0,1,0,2
4119,0,0.272,0.728,-0.6249,10
4120,1,0,0,0.5106,1
4121,0.762,0,0.238,0.4927,6
4122,0,0,1,0,8
4123,1,0,0,0.5719,10
4124,0,0,1,0,9
4125,0.7,0,0.3,0.7906,10
4126,0,0,1,0,8
4127,0,1,0,-0.4767,10
4128,1,0,0,0.4404,3
4129,0.545,0,0.455,0.34,7
4130,0,1,0,-0.4767,9
4131,0,1,0,-0.4767,3
4132,0.762,0,0.238,0.4927,3
4133,0.246,0,0.754,0.4466,8
4134,1,0,0,0.5719,5
4135,0.762,0,0.238,0.4927,9
4136,0.762,0,0.238,0.4927,8
4137,0.762,0,0.238,0.4927,8
4138,1,0,0,0.5106,8
4139,1,0,0,0.5719,6
4140,1,0,0,0.5106,9
4141,0,0,1,0,6
4142,0.762,0,0.238,0.4927,10
4143,1,0,0,0.5106,8
4144,1,0,0,0.4404,6
4145,0,1,0,-0.4939,7
4146,1,0,0,0.5719,4
4147,0.762,0,0.238,0.4927,9
4148,0.302,0,0.698,0.5994,8
4149,0,0,1,0,8
4150,1,0,0,0.4404,10
4151,0,0,1,0,7
4152,0.762,0,0.238,0.4927,10
4153,1,0,0,0.3182,8
4154,0.762,0,0.238,0.4927,5
4155,1,0,0,0.5719,8
4156,0,0,1,0,9
4157,1,0,0,0.4404,10
4158,1,0,0,0.5719,7
4159,0,0,1,0,9
4160,0,0,1,0,10
4161,0,1,0,-0.4939,10
4162,1,0,0,0.4404,4
4163,0.762,0,0.238,0.4927,7
4164,0.762,0,0.238,0.4927,8
4165,1,0,0,0.5719,8
4166,1,0,0,0.3182,9
4167,1,0,0,0.5719,5
4168,1,0,0,0.5719,9
4169,0,0,1,0,9
4170,1,0,0,0.5106,10
4171,0,0,1,0,6
4172,0.744,0,0.256,0.7003,10
4173,0,0,1,0,10
4174,0,0,1,0,10
4175,0,0,1,0,10
4176,0.177,0,0.823,0.6249,10
4177,0,0,1,0,10
4178,0,0,1,0,10
4179,0,0,1,0,10
4180,1,0,0,0.5719,10
4181,0,1,0,-0.4767,9
4182,0.737,0,0.263,0.4215,3
4183,0,0,1,0,10
4184,0,0,1,0,10
4185,0,0,1,0,10
4186,0.138,0.085,0.777,0.1901,10
4187,0,0,1,0,7
4188,1,0,0,0.3182,10
4189,0,0.778,0.222,-0.5423,5
4190,0,0,1,0,1
4191,0,0,1,0,10
4192,0.762,0,0.238,0.4927,10
4193,1,0,0,0.4404,8
4194,0,1,0,-0.5423,7
4195,0,0,1,0,1
4196,0,0,1,0,10
4197,0,0,1,0,10
4198,1,0,0,0.5106,10
4199,0,0,1,0,6
4200,0.762,0,0.238,0.4927,8
4201,0,0,1,0,10
4202,1,0,0,0.4404,7
4203,0,0,1,0,10
4204,0,0,1,0,10
4205,0.762,0,0.238,0.4927,8
4206,1,0,0,0.5106,6
4207,0,1,0,-0.4767,3
4208,1,0,0,0.4404,7
4209,0,0,1,0,10
4210,0,1,0,-0.4767,3
4211,0,0,1,0,10
4212,0,0,1,0,5
4213,0,0,1,0,10
4214,0.762,0,0.238,0.4927,8
4215,1,0,0,0.5719,9
4216,0,0,1,0,9
4217,0,0,1,0,10
4218,0.45,0,0.55,0.7615,8
4219,1,0,0,0.4404,7
4220,0,0,1,0,10
4221,1,0,0,0.5719,9
4222,0,0,1,0,3
4223,0,0.132,0.868,-0.1695,3
4224,1,0,0,0.5719,9
4225,0,0,1,0,10
4226,1,0,0,0.5719,9
4227,0,0,1,0,10
4228,1,0,0,0.5719,9
4229,0.762,0,0.238,0.4927,8
4230,0,0,1,0,10
4231,0,0,1,0,10
4232,1,0,0,0.5719,9
4233,0.577,0,0.423,0.6249,10
4234,0,0,1,0,10
4235,0.762,0,0.238,0.4927,8
4236,0.762,0,0.238,0.4927,8
4237,0.762,0,0.238,0.4927,8
4238,0,0,1,0,10
4239,1,0,0,0.4404,7
4240,0,0,1,0,10
4241,0.242,0.51,0.248,-0.4867,7
4242,0.762,0,0.238,0.4927,8
4243,1,0,0,0.5719,9
4244,0,0,1,0,10
4245,0,0,1,0,10
4246,0.655,0,0.345,0.2263,7
4247,0,0,1,0,10
4248,1,0,0,0.5719,9
4249,0,0,1,0,10
4250,1,0,0,0.5719,9
4251,1,0,0,0.4404,7
4252,1,0,0,0.5719,9
4253,0,0,1,0,10
4254,1,0,0,0.4404,7
4255,0,0,1,0,10
4256,1,0,0,0.6249,8
4257,0.762,0,0.238,0.4927,8
4258,0.762,0,0.238,0.4927,8
4259,0.762,0,0.238,0.4927,8
4260,0,0,1,0,10
4261,0.688,0,0.312,0.296,10
4262,0.737,0,0.263,0.4215,9
4263,1,0,0,0.5719,9
4264,1,0,0,0.5106,6
4265,0.705,0,0.295,0.6988,10
4266,1,0,0,0.5719,9
4267,0,0.395,0.605,-0.6403,3
4268,0.762,0,0.238,0.4927,8
4269,0.762,0,0.238,0.4927,8
4270,1,0,0,0.5719,9
4271,0,0,1,0,10
4272,0,0,1,0,10
4273,0,0.407,0.593,-0.8493,3
4274,0.453,0,0.547,0.7003,7
4275,0.367,0,0.633,0.4678,7
4276,0.762,0,0.238,0.4927,8
4277,0.574,0,0.426,0.4019,10
4278,0.6,0,0.4,0.4588,9
4279,0.762,0,0.238,0.4927,8
4280,1,0,0,0.5719,9
4281,0,0,1,0,10
4282,0,0,1,0,10
4283,0,0,1,0,10
4284,0,0,1,0,10
4285,0,0,1,0,10
4286,0,0,1,0,10
4287,0,0,1,0,10
4288,1,0,0,0.4404,8
4289,1,0,0,0.5719,9
4290,1,0,0,0.5106,6
4291,0.762,0,0.238,0.4927,8
4292,0,0,1,0,10
4293,1,0,0,0.5719,9
4294,1,0,0,0.5719,9
4295,0,0,1,0,10
4296,1,0,0,0.4404,7
4297,1,0,0,0.4404,7
4298,0.762,0,0.238,0.4927,8
4299,1,0,0,0.5719,9
4300,0.762,0,0.238,0.4927,8
4301,1,0,0,0.5719,9
4302,0.412,0,0.588,0.6369,10
4303,1,0,0,0.4404,7
4304,0.7,0,0.3,0.7906,9
4305,0,1,0,-0.4939,4
4306,0,0,1,0,10
4307,1,0,0,0.4404,7
4308,1,0,0,0.4404,7
4309,1,0,0,0.5719,9
4310,0,0,1,0,10
4311,1,0,0,0.5719,9
4312,0.762,0,0.238,0.4927,8
4313,0,0,1,0,10
4314,0.762,0,0.238,0.4927,8
4315,0.762,0,0.238,0.4927,8
4316,0.481,0,0.519,0.5719,10
4317,0.762,0,0.238,0.4927,8
4318,0.762,0,0.238,0.4927,8
4319,0.815,0,0.185,0.6588,10
4320,1,0,0,0.5719,9
4321,0.762,0,0.238,0.4927,8
4322,0.424,0,0.576,0.7089,10
4323,0.762,0,0.238,0.4927,8
4324,0,0,1,0,10
4325,1,0,0,0.5719,9
4326,0,0,1,0,10
4327,0.762,0,0.238,0.4927,8
4328,0.592,0,0.408,0.4404,8
4329,0.762,0,0.238,0.4927,8
4330,0,0,1,0,10
4331,1,0,0,0.4404,7
4332,0.762,0,0.238,0.4927,8
4333,1,0,0,0.4404,7
4334,0,0,1,0,10
4335,1,0,0,0.5719,9
4336,0,0,1,0,10
4337,0.737,0,0.263,0.4215,8
4338,1,0,0,0.5719,9
4339,1,0,0,0.5719,9
4340,1,0,0,0.5719,9
4341,0,1,0,-0.5423,1
4342,1,0,0,0.5719,9
4343,0,0.791,0.209,-0.5849,1
4344,0.762,0,0.238,0.4927,8
4345,0.762,0,0.238,0.4927,8
4346,0,0,1,0,10
4347,0.762,0,0.238,0.4927,8
4348,0,1,0,-0.5423,1
4349,1,0,0,0.5719,9
4350,0.762,0,0.238,0.4927,8
4351,0,0,1,0,10
4352,1,0,0,0.5719,9
4353,0,0,1,0,10
4354,1,0,0,0.5106,6
4355,0,1,0,-0.4767,3
4356,0.711,0,0.289,0.9565,10
4357,1,0,0,0.6249,9
4358,0,0.772,0.228,-0.5256,2
4359,0,1,0,-0.4939,4
4360,1,0,0,0.4404,7
4361,0,0,1,0,10
4362,1,0,0,0.4404,7
4363,0,0,1,0,10
4364,1,0,0,0.4404,7
4365,0,0,1,0,10
4366,0.762,0,0.238,0.4927,8
4367,0.769,0,0.231,0.7688,8
4368,0.762,0,0.238,0.4927,8
4369,1,0,0,0.3182,5
4370,0.762,0,0.238,0.4927,8
4371,0,0,1,0,10
4372,1,0,0,0.3182,5
4373,0.762,0,0.238,0.4927,8
4374,0.72,0,0.28,0.8834,8
4375,0.762,0,0.238,0.4927,8
4376,0.762,0,0.238,0.4927,8
4377,0.762,0,0.238,0.4927,8
4378,0.762,0,0.238,0.4927,8
4379,0.744,0,0.256,0.4404,10
4380,0.762,0,0.238,0.4927,8
4381,1,0,0,0.5719,9
4382,0,0,1,0,10
4383,1,0,0,0.5719,9
4384,0.453,0,0.547,0.8442,9
4385,0,0,1,0,10
4386,0,0,1,0,9
4387,0,0,1,0,10
4388,1,0,0,0.5719,9
4389,0,0,1,0,10
4390,1,0,0,0.5106,6
4391,1,0,0,0.5106,6
4392,1,0,0,0.3182,5
4393,0,0,1,0,10
4394,0,0,1,0,10
4395,0,1,0,-0.4939,4
4396,1,0,0,0.5106,6
4397,0.762,0,0.238,0.4927,8
4398,0.762,0,0.238,0.4927,8
4399,0,0,1,0,10
4400,1,0,0,0.5719,9
4401,1,0,0,0.5719,9
4402,1,0,0,0.5106,6
4403,0.762,0,0.238,0.4927,8
4404,0.762,0,0.238,0.4927,8
4405,1,0,0,0.5719,9
4406,0,0,1,0,10
4407,1,0,0,0.4404,7
4408,0.762,0,0.238,0.4927,8
4409,0,0.244,0.756,-0.5445,1
4410,0,0,1,0,10
4411,1,0,0,0.4404,7
4412,0,0,1,0,10
4413,0,0,1,0,10
4414,0,0,1,0,10
4415,0,0,1,0,10
4416,0,0,1,0,10
4417,0.42,0,0.58,0.4404,7
4418,0,0,1,0,10
4419,1,0,0,0.5719,9
4420,0.159,0.357,0.484,-0.4327,3
4421,0,0,1,0,10
4422,0.655,0,0.345,0.6908,8
4423,0,0,1,0,9
4424,0,0,1,0,10
4425,0.689,0,0.311,0.9022,6
4426,0,1,0,-0.5423,1
4427,1,0,0,0.5719,9
4428,0,0,1,0,10
4429,0,0,1,0,10
4430,0,0,1,0,10
4431,0.762,0,0.238,0.4927,8
4432,0,0,1,0,10
4433,1,0,0,0.5719,9
4434,0,0,1,0,10
4435,1,0,0,0.4404,7
4436,0,0,1,0,10
4437,0,0,1,0,10
4438,0,0,1,0,9
4439,0,0,1,0,10
4440,1,0,0,0.5106,6
4441,0.762,0,0.238,0.7501,10
4442,0,0,1,0,10
4443,0,0,1,0,10
4444,0.069,0.085,0.846,-0.1027,7
4445,0.545,0,0.455,0.7184,8
4446,0,0,1,0,10
4447,0,1,0,-0.5423,1
4448,0,0,1,0,10
4449,0.762,0,0.238,0.4927,8
4450,0.762,0,0.238,0.4927,8
4451,1,0,0,0.5719,9
4452,0.667,0,0.333,0.7906,9
4453,1,0,0,0.5719,9
4454,1,0,0,0.5719,9
4455,0,0,1,0,10
4456,1,0,0,0.5106,6
4457,1,0,0,0.5719,9
4458,1,0,0,0.5719,9
4459,0.512,0,0.488,0.6369,10
4460,0.762,0,0.238,0.4927,8
4461,0.744,0,0.256,0.4404,9
4462,1,0,0,0.296,5
4463,0.737,0,0.263,0.4215,10
4464,0,0,1,0,10
4465,0.388,0,0.612,0.2263,5
4466,0.762,0,0.238,0.4927,8
4467,0.762,0,0.238,0.4927,8
4468,0.762,0,0.238,0.4927,8
4469,0.762,0,0.238,0.4927,8
4470,0.762,0,0.238,0.4927,8
4471,0,0,1,0,10
4472,0,0,1,0,10
4473,0,0,1,0,10
4474,0,0,1,0,10
4475,0,0,1,0,10
4476,0,0,1,0,10
4477,0,0,1,0,10
4478,0,0,1,0,10
4479,0,0,1,0,10
4480,0,0,1,0,10
4481,0,0,1,0,10
4482,1,0,0,0.4404,7
4483,0.545,0,0.455,0.34,10
4484,0.762,0,0.238,0.4927,8
4485,0,0,1,0,10
4486,0,0,1,0,10
4487,0,0,1,0,10
4488,0,0,1,0,10
4489,0,0.41,0.59,-0.769,5
4490,0,0,1,0,10
4491,1,0,0,0.4404,7
4492,0.762,0,0.238,0.4927,8
4493,0,0,1,0,10
4494,1,0,0,0.3182,8
4495,1,0,0,0.5719,5
4496,1,0,0,0.5719,9
4497,1,0,0,0.5719,9
4498,0,0,1,0,9
4499,0.804,0,0.196,0.624,10
4500,1,0,0,0.3182,5
4501,0,0.136,0.864,-0.296,5
4502,0,0,1,0,10
4503,0,1,0,-0.5423,1
4504,0.417,0,0.583,0.2846,6
4505,1,0,0,0.5719,9
4506,0,0,1,0,10
4507,0,0,1,0,10
4508,0,0,1,0,10
4509,1,0,0,0.5106,6
4510,1,0,0,0.5719,9
4511,0.56,0,0.44,0.8807,10
4512,0,0,1,0,10
4513,0.792,0,0.208,0.5859,10
4514,0,0,1,0,10
4515,1,0,0,0.4404,7
4516,0,0,1,0,10
4517,0,0,1,0,10
4518,0,0,1,0,10
4519,0,0,1,0,10
4520,0,0,1,0,10
4521,0,0,1,0,10
4522,0,0,1,0,10
4523,0,1,0,-0.4939,4
4524,0.762,0,0.238,0.4927,8
4525,0,0.167,0.833,-0.0516,5
4526,0.441,0,0.559,0.5756,9
4527,0.762,0,0.238,0.4927,8
4528,0,0,1,0,10
4529,0.762,0,0.238,0.4927,8
4530,0.762,0,0.238,0.4927,8
4531,0.762,0,0.238,0.4927,8
4532,0.42,0,0.58,0.4404,10
4533,0,0,1,0,10
4534,1,0,0,0.3182,5
4535,0.762,0,0.238,0.4927,8
4536,1,0,0,0.5719,9
4537,0,0,1,0,10
4538,1,0,0,0.4404,7
4539,0,0.368,0.632,-0.5423,1
4540,1,0,0,0.5106,6
4541,1,0,0,0.5719,9
4542,0.762,0,0.238,0.4927,8
4543,0,0,1,0,10
4544,0,1,0,-0.4939,4
4545,1,0,0,0.5719,9
4546,0,0,1,0,10
4547,1,0,0,0.5106,6
4548,0.268,0.219,0.513,-0.0387,5
4549,0,0,1,0,10
4550,0,1,0,-0.5423,1
4551,1,0,0,0.5719,9
4552,0.762,0,0.238,0.4927,8
4553,0,1,0,-0.5423,1
4554,1,0,0,0.5106,6
4555,0,0,1,0,10
4556,0,0.298,0.702,-0.7351,4
4557,0,0,1,0,10
4558,0,0,1,0,10
4559,0.659,0,0.341,0.6997,8
4560,1,0,0,0.5719,9
4561,1,0,0,0.6249,7
4562,1,0,0,0.5719,9
4563,1,0,0,0.5719,9
4564,1,0,0,0.5106,6
4565,1,0,0,0.4404,7
4566,1,0,0,0.5719,9
4567,0,0,1,0,10
4568,1,0,0,0.5106,6
4569,1,0,0,0.5719,9
4570,0,0,1,0,10
4571,0,0,1,0,10
4572,0.762,0,0.238,0.4927,8
4573,1,0,0,0.5719,9
4574,0.205,0.479,0.316,-0.5577,9
4575,0,1,0,-0.5423,1
4576,1,0,0,0.4404,7
4577,0.762,0,0.238,0.4927,8
4578,1,0,0,0.4404,7
4579,1,0,0,0.5106,6
4580,0,1,0,-0.5423,1
4581,0,0,1,0,10
4582,0,0,1,0,10
4583,1,0,0,0.4404,7
4584,1,0,0,0.4404,7
4585,0.762,0,0.238,0.4927,8
4586,1,0,0,0.4404,7
4587,0,0,1,0,10
4588,0,0.614,0.386,-0.1511,4
4589,1,0,0,0.5719,9
4590,0,0,1,0,10
4591,1,0,0,0.3182,5
4592,0,0,1,0,10
4593,1,0,0,0.5719,9
4594,0.762,0,0.238,0.4927,8
4595,1,0,0,0.3182,5
4596,0.886,0,0.114,0.8316,10
4597,0,0,1,0,10
4598,0,1,0,-0.5423,1
4599,0,0,1,0,10
4600,1,0,0,0.5719,9
4601,0.762,0,0.238,0.4927,8
4602,0.762,0,0.238,0.4927,8
4603,1,0,0,0.4404,7
4604,0.762,0,0.238,0.4927,8
4605,1,0,0,0.5719,9
4606,0,0,1,0,10
4607,1,0,0,0.5719,9
4608,1,0,0,0.5719,9
4609,0,0,1,0,10
4610,0.636,0,0.364,0.7906,6
4611,1,0,0,0.5719,9
4612,0,1,0,-0.5423,1
4613,0.762,0,0.238,0.4927,8
4614,0,0,1,0,10
4615,0.536,0,0.464,0.7964,9
4616,1,0,0,0.5106,6
4617,0,0,1,0,10
4618,0,0,1,0,10
4619,0.767,0,0.233,0.5106,10
4620,0.762,0,0.238,0.4927,8
4621,0,0,1,0,8
4622,0.762,0,0.238,0.4927,8
4623,0.762,0,0.238,0.4927,8
4624,1,0,0,0.5719,9
4625,0.762,0,0.238,0.4927,8
4626,0,0,1,0,10
4627,1,0,0,0.4404,7
4628,0,1,0,-0.4767,3
4629,0.762,0,0.238,0.4927,8
4630,0.762,0,0.238,0.4927,8
4631,0.762,0,0.238,0.4927,8
4632,1,0,0,0.5719,9
4633,0,0,1,0,10
4634,0,0,1,0,10
4635,0.762,0,0.238,0.4927,8
4636,1,0,0,0.5719,9
4637,0,0,1,0,10
4638,0,0,1,0,10
4639,0.364,0,0.636,0.883,10
4640,1,0,0,0.4404,7
4641,0,0,1,0,10
4642,0,0,1,0,10
4643,0.762,0,0.238,0.4927,8
4644,1,0,0,0.4404,7
4645,0,0,1,0,10
4646,0.704,0,0.296,0.8979,10
4647,0.762,0,0.238,0.4927,8
4648,0,0,1,0,10
4649,0.6,0,0.4,0.6697,10
4650,0,0,1,0,10
4651,1,0,0,0.3182,5
4652,0.666,0,0.334,0.4574,10
4653,0,0,1,0,10
4654,0,0,1,0,10
4655,1,0,0,0.5719,9
4656,1,0,0,0.5719,9
4657,0.487,0,0.513,0.2263,10
4658,0,0,1,0,10
4659,0.688,0,0.312,0.296,10
4660,0,0,1,0,10
4661,0.42,0,0.58,0.4404,10
4662,0.513,0,0.487,0.4877,9
4663,0.762,0,0.238,0.4927,8
4664,1,0,0,0.5719,9
4665,1,0,0,0.4404,7
4666,0.804,0,0.196,0.6249,10
4667,1,0,0,0.4404,7
4668,0,1,0,-0.5423,1
4669,1,0,0,0.5719,9
4670,0.318,0,0.682,0.6808,7
4671,1,0,0,0.4404,7
4672,1,0,0,0.4404,7
4673,1,0,0,0.4404,7
4674,0.762,0,0.238,0.4927,8
4675,1,0,0,0.5719,9
4676,0,0,1,0,9
4677,0,0,1,0,10
4678,0.762,0,0.238,0.4927,8
4679,0.767,0,0.233,0.5106,10
4680,0,0,1,0,10
4681,1,0,0,0.5719,9
4682,0,1,0,-0.4767,3
4683,1,0,0,0.5719,9
4684,0.762,0,0.238,0.4927,8
4685,0.762,0,0.238,0.4927,8
4686,0.762,0,0.238,0.4927,8
4687,0,1,0,-0.4767,3
4688,0,0,1,0,10
4689,0,0,1,0,10
4690,0.762,0,0.238,0.4927,8
4691,1,0,0,0.5719,9
4692,1,0,0,0.6588,9
4693,1,0,0,0.5719,9
4694,0,0,1,0,10
4695,0.762,0,0.238,0.4927,8
4696,1,0,0,0.4404,7
4697,1,0,0,0.5719,9
4698,0.762,0,0.238,0.4927,8
4699,0,0,1,0,10
4700,0.344,0,0.656,0.2732,10
4701,0,0,1,0,10
4702,0.733,0,0.267,0.8039,9
4703,0,0,1,0,10
4704,0,0,1,0,10
4705,1,0,0,0.6249,10
4706,0,0,1,0,10
4707,0.762,0,0.238,0.4927,8
4708,0,0,1,0,10
4709,0.367,0,0.633,0.4404,8
4710,1,0,0,0.5719,9
4711,0.264,0,0.736,0.4983,5
4712,0,0,1,0,10
4713,0,0,1,0,10
4714,0.762,0,0.238,0.4927,8
4715,0,0.269,0.731,-0.4482,7
4716,0,0,1,0,10
4717,0,0,1,0,10
4718,0,0.577,0.423,-0.6249,1
4719,0,1,0,-0.4939,4
4720,1,0,0,0.5859,10
4721,0.762,0,0.238,0.4927,8
4722,0.163,0.209,0.628,-0.0951,2
4723,1,0,0,0.4404,7
4724,0,0,1,0,10
4725,0.762,0,0.238,0.4927,8
4726,0,0,1,0,10
4727,0.762,0,0.238,0.4927,8
4728,1,0,0,0.5106,6
4729,0,1,0,-0.5423,1
4730,1,0,0,0.5719,9
4731,0.762,0,0.238,0.4927,8
4732,0.326,0,0.674,0.4404,10
4733,1,0,0,0.5106,6
4734,0,1,0,-0.4939,4
4735,1,0,0,0.5719,9
4736,1,0,0,0.4215,9
4737,0.762,0,0.238,0.4927,8
4738,0.195,0,0.805,0.4404,8
4739,0,0,1,0,10
4740,0,0,1,0,10
4741,0.688,0,0.312,0.296,7
4742,0,0,1,0,10
4743,0,0,1,0,10
4744,0,0,1,0,10
4745,0,0.772,0.228,-0.5256,2
4746,0,0,1,0,10
4747,0.762,0,0.238,0.4927,8
4748,0.762,0,0.238,0.4927,8
4749,0.473,0,0.527,0.5563,9
4750,0.762,0,0.238,0.4927,8
4751,1,0,0,0.5106,6
4752,0,0,1,0,10
4753,0,0,1,0,10
4754,0.762,0,0.238,0.4927,8
4755,1,0,0,0.5574,10
4756,0.762,0,0.238,0.4927,8
4757,0,0,1,0,10
4758,1,0,0,0.4404,7
4759,0,0,1,0,10
4760,1,0,0,0.4404,7
4761,0,0,1,0,10
4762,1,0,0,0.5719,9
4763,0,0,1,0,10
4764,0.762,0,0.238,0.4927,8
4765,0,0,1,0,10
4766,0,0,1,0,10
4767,0,0,1,0,10
4768,0,0,1,0,10
4769,0,0,1,0,10
4770,1,0,0,0.4404,7
4771,0,0,1,0,10
4772,1,0,0,0.4404,7
4773,0,0,1,0,10
4774,0.762,0,0.238,0.4927,8
4775,1,0,0,0.4404,7
4776,1,0,0,0.4404,8
4777,1,0,0,0.5719,9
4778,0,0,1,0,10
4779,1,0,0,0.4926,10
4780,0.762,0,0.238,0.4927,8
4781,0,1,0,-0.4939,4
4782,0.762,0,0.238,0.4927,8
4783,1,0,0,0.3182,5
4784,0,1,0,-0.4939,4
4785,1,0,0,0.5719,9
4786,0,1,0,-0.4939,4
4787,0,0,1,0,10
4788,0,0,1,0,10
4789,0,1,0,-0.4939,4
4790,0.762,0,0.238,0.4927,8
4791,0.808,0,0.192,0.6369,10
4792,1,0,0,0.5719,9
4793,0.762,0,0.238,0.4927,8
4794,0.744,0,0.256,0.4404,10
4795,1,0,0,0.5719,9
4796,0.787,0,0.213,0.5719,10
4797,1,0,0,0.5719,9
4798,0.762,0,0.238,0.4927,8
4799,0.762,0,0.238,0.4927,8
4800,0.762,0,0.238,0.4927,8
4801,0,0,1,0,10
4802,0,0,1,0,10
4803,1,0,0,0.5106,6
4804,0,0,1,0,10
4805,0,0,1,0,10
4806,0,0,1,0,10
4807,1,0,0,0.5106,6
4808,0,0,1,0,10
4809,0,0,1,0,10
4810,1,0,0,0.3182,5
4811,0,0,1,0,10
4812,0,0,1,0,10
4813,1,0,0,0.5106,6
4814,0.744,0,0.256,0.4404,10
4815,1,0,0,0.5106,6
4816,0.762,0,0.238,0.4927,8
4817,0,0,1,0,10
4818,0,0,1,0,10
4819,1,0,0,0.4404,7
4820,1,0,0,0.4404,7
4821,0.141,0,0.859,0.4215,10
4822,0.762,0,0.238,0.4927,8
4823,0.651,0,0.349,0.6808,8
4824,0,0,1,0,10
4825,0.58,0,0.42,0.9582,8
4826,0.762,0,0.238,0.4927,8
4827,1,0,0,0.5719,9
4828,0.756,0,0.244,0.4754,8
4829,0,0,1,0,10
4830,0.744,0,0.256,0.4404,7
4831,0,0,1,0,10
4832,0.302,0,0.698,0.7224,10
4833,1,0,0,0.4404,7
4834,1,0,0,0.4404,7
4835,1,0,0,0.5719,9
4836,1,0,0,0.4404,7
4837,1,0,0,0.4404,7
4838,0,0,1,0,10
4839,1,0,0,0.3182,5
4840,1,0,0,0.5719,9
4841,0.762,0,0.238,0.4927,8
4842,0,0,1,0,10
4843,0.583,0,0.417,0.4215,7
4844,0,0.772,0.228,-0.5256,2
4845,1,0,0,0.4404,7
4846,1,0,0,0.2023,9
4847,0.762,0,0.238,0.4927,8
4848,1,0,0,0.5719,9
4849,0,0,1,0,10
4850,1,0,0,0.3182,5
4851,1,0,0,0.3182,5
4852,0,0,1,0,10
4853,0.762,0,0.238,0.4927,8
4854,1,0,0,0.4404,7
4855,0,0,1,0,10
4856,1,0,0,0.4404,7
4857,0,0,1,0,10
4858,0,0,1,0,10
4859,1,0,0,0.5719,9
4860,1,0,0,0.3182,5
4861,1,0,0,0.5719,9
4862,0.762,0,0.238,0.4927,8
4863,1,0,0,0.4404,7
4864,0,1,0,-0.5423,1
4865,0,0,1,0,10
4866,0.762,0,0.238,0.4927,8
4867,1,0,0,0.5719,9
4868,0.762,0,0.238,0.4927,8
4869,1,0,0,0.3182,5
4870,1,0,0,0.5719,9
4871,0,0,1,0,10
4872,0,0,1,0,10
4873,0.762,0,0.238,0.4927,8
4874,0,0,1,0,10
4875,1,0,0,0.5719,9
4876,1,0,0,0.3182,5
4877,0,0,1,0,10
4878,1,0,0,0.4404,7
4879,1,0,0,0.4404,7
4880,1,0,0,0.4404,7
4881,1,0,0,0.4404,7
4882,0,0.772,0.228,-0.5256,2
4883,0.762,0,0.238,0.4927,8
4884,1,0,0,0.4404,7
4885,0.762,0,0.238,0.4927,8
4886,1,0,0,0.5106,9
4887,1,0,0,0.4404,7
4888,0,0,1,0,6
4889,1,0,0,0.5719,9
4890,0,1,0,-0.5423,1
4891,0.762,0,0.238,0.4927,8
4892,0.762,0,0.238,0.4927,8
4893,1,0,0,0.5719,9
4894,1,0,0,0.5719,9
4895,0.762,0,0.238,0.4927,8
4896,0,0,1,0,10
4897,0.508,0,0.492,0.7351,8
4898,1,0,0,0.5719,9
4899,1,0,0,0.4404,7
4900,0.457,0,0.543,0.6369,8
4901,0,0,1,0,10
4902,1,0,0,0.296,5
4903,0,1,0,-0.5423,1
4904,0,0,1,0,10
4905,0,0,1,0,10
4906,0,0,1,0,10
4907,1,0,0,0.4404,8
4908,0,0,1,0,10
4909,0.174,0.078,0.749,0.2023,4
4910,0.483,0,0.517,0.6808,6
4911,1,0,0,0.5719,9
4912,1,0,0,0.4404,7
4913,0.762,0,0.238,0.4927,8
4914,0,0,1,0,10
4915,0,0,1,0,10
4916,1,0,0,0.4404,6
4917,1,0,0,0.4404,7
4918,0.762,0,0.238,0.4927,8
4919,1,0,0,0.4404,10
4920,0,0,1,0,10
4921,1,0,0,0.4404,7
4922,0,0,1,0,10
4923,0.762,0,0.238,0.4927,8
4924,0,1,0,-0.5423,1
4925,0,0.595,0.405,-0.5267,4
4926,0.762,0,0.238,0.4927,8
4927,1,0,0,0.5106,6
4928,1,0,0,0.4404,7
4929,0,0,1,0,10
4930,1,0,0,0.4404,7
4931,0.787,0,0.213,0.5719,8
4932,0.583,0,0.417,0.4215,7
4933,0.762,0,0.238,0.4927,8
4934,0.762,0,0.238,0.4927,8
4935,0.762,0,0.238,0.4927,8
4936,0,0,1,0,10
4937,1,0,0,0.4404,7
4938,1,0,0,0.4404,7
4939,0.762,0,0.238,0.4927,8
4940,0,0,1,0,10
4941,0,0,1,0,10
4942,1,0,0,0.5719,9
4943,1,0,0,0.5719,9
4944,0,0,1,0,10
4945,0.762,0,0.238,0.4927,8
4946,0,0,1,0,10
4947,0,0,1,0,10
4948,0.762,0,0.238,0.4927,8
4949,0,0,1,0,10
4950,0,0,1,0,10
4951,0.762,0,0.238,0.4927,8
4952,0,0,1,0,10
4953,0,0,1,0,10
4954,0.434,0,0.566,0.8481,6
4955,1,0,0,0.3182,5
4956,1,0,0,0.5719,9
